,Start_id,End_id,counts
0,30000,30000,1225
1,30000,30001,9
2,30000,30002,10
3,30000,30003,2
4,30000,30004,100
5,30000,30005,129
6,30000,30006,172
7,30000,30007,47
8,30000,30008,7
9,30000,30009,184
10,30000,30010,41
11,30000,30011,225
12,30000,30012,28
13,30000,30013,17
14,30000,30014,11
15,30000,30015,120
16,30000,30016,52
17,30000,30017,22
18,30000,30018,7
19,30000,30019,30
20,30000,30020,10
21,30000,30021,157
22,30000,30022,18
23,30000,30023,1
24,30000,30024,107
25,30000,30025,43
26,30000,30026,14
27,30000,30027,53
28,30000,30028,54
29,30000,30029,104
30,30000,30030,310
31,30000,30031,60
32,30000,30032,47
33,30000,30033,4
34,30000,30034,43
35,30000,30035,61
36,30000,30036,138
37,30000,30037,3
38,30000,30038,3
39,30000,30039,97
40,30000,30040,114
41,30000,30041,18
42,30000,30042,237
43,30000,30043,14
44,30000,30044,17
45,30000,30045,12
46,30000,30046,146
47,30000,30047,192
48,30000,30048,9
49,30000,30049,6
50,30000,30050,102
51,30000,30051,93
52,30000,30052,72
53,30000,30053,119
54,30000,30054,15
55,30000,30055,65
56,30000,30056,79
57,30000,30057,90
58,30000,30058,40
59,30000,30059,8
60,30000,30060,30
61,30000,30061,4
62,30000,30062,10
63,30000,30063,30
64,30000,30065,128
65,30000,30066,6
66,30000,30068,17
67,30000,30069,1
68,30000,30073,2
69,30000,30074,35
70,30000,30075,6
71,30000,30076,4
72,30000,30077,1
73,30000,30079,1
74,30000,30081,3
75,30000,30084,1
76,30000,30085,2
77,30000,30086,1
78,30000,30087,37
79,30000,30088,200
80,30000,30089,40
81,30000,30090,316
82,30000,30091,316
83,30000,30092,158
84,30000,30093,79
85,30000,30094,19
86,30000,30095,4
87,30000,30096,67
88,30000,30098,117
89,30000,30099,1
90,30000,30102,1
91,30000,30103,2
92,30000,30104,131
93,30000,30106,1
94,30000,30107,2
95,30000,30108,28
96,30000,30109,15
97,30000,30110,40
98,30000,30112,38
99,30000,30115,76
100,30000,30138,2
101,30000,30142,74
102,30000,30143,420
103,30000,30144,293
104,30000,30145,29
