Terminal,Station,Latitude,Longitude,Ndocks
30000,100 Main Street SE,44.984891999999995,-93.256551,25
30001,25th Street & 33rd Ave. S,44.95734,-93.22374,15
30002,Augsburg College,44.96622,-93.2384,18
30003,Plymouth Ave. N & Oliver Ave. N,44.991412,-93.306269,21
30004,11th Street & Hennepin,44.97534,-93.27869,23
30005,Hennepin & Central Ave. NE,44.988890000000005,-93.25392,15
30006,YWCA Downtown,44.972217,-93.27643499999999,21
30007,9th Street & 4th Ave. S,44.97265,-93.26872,17
30008,Midtown Exchange,44.94859,-93.2602,19
30009,4th Street & 13th Ave. SE,44.98102,-93.23746,15
30010,Hennepin & Laurel Ave.,44.97391,-93.28305,15
30011,North 2nd Street & 4th Ave. N,44.986087,-93.272459,19
30012,Mpls. Convention Center,44.970040999999995,-93.27586099999999,19
30013,Lake Street & Lyndale,44.94964,-93.28827,19
30014,25th Ave. S & Franklin,44.96293,-93.23604,15
30015,Washington & Cedar,44.973440000000004,-93.24748000000001,16
30016,Walker Art Center,44.967459999999996,-93.28848,17
30017,22nd Street & Lyndale,44.960744,-93.28815,17
30018,MCAD,44.957214,-93.27498100000001,17
30019,Social Sciences,44.971359,-93.24375400000001,31
30020,YWCA Uptown,44.95131,-93.29853,19
30021,Washington & 2nd Ave. N,44.98383,-93.27099,19
30022,26th Street & Lyndale,44.95548,-93.28775,15
30023,Chicago & 27th Street,44.95355,-93.26259,15
30024,Kolthoff Hall,44.97381,-93.23649,31
30025,Williamson Hall,44.977406,-93.234911,25
30026,Akerman Hall,44.97535,-93.2319,22
30027,4th Street S & 19th Ave.,44.97003,-93.24519000000001,23
30028,Washington & Marquette,44.981120000000004,-93.26634,19
30029,5th Street & 3rd. Ave. S,44.976602,-93.266701,27
30030,South 2nd Street & 3rd. Ave. S,44.980926000000004,-93.26285,21
30031,University Ave. & 23rd Ave. SE,44.974588,-93.223323,21
30032,4th Street & 17th Ave. SE,44.97913,-93.23189,15
30033,Franklin & 11th Ave. ,44.962509999999995,-93.2583,15
30034,Oak Street Ramp,44.97202,-93.22697,24
30035,Loring Park,44.9715,-93.284927,15
30036,Downtown Library,44.980199,-93.269217,31
30037,Currie Park,44.969225,-93.251136,15
30038,19th Ave. S & Franklin,44.96312,-93.2456,15
30039,Park Ave. & 5th Street,44.974909999999994,-93.26078000000001,19
30040,11th Street & Marquette,44.97265,-93.27405,17
30041,Franklin & Portland,44.962846,-93.267526,15
30042,IDS Center,44.975640999999996,-93.272185,21
30043,Lake Street & Humboldt,44.94865,-93.30077,19
30044,26th Street & Hennepin,44.955473,-93.297143,15
30045,Franklin & 28th Ave.,44.962679,-93.23049300000001,19
30046,Washington Ave. S & 9th Ave.,44.97654,-93.25535,19
30047,University & Bank Street SE,44.98717,-93.25576,17
30048,Franklin Ave. & Colfax,44.9629,-93.29174,15
30049,Nicollet & 24th Street,44.959046,-93.2783,13
30050,3rd Street S. & 2nd Ave. S,44.97974,-93.26599,27
30051,7th Street & 4th Ave. S,44.97497,-93.266684,15
30052,Nicollet Mall & Grant Street,44.96995,-93.278133,15
30053,2nd Ave. N & North 4th Street,44.98193,-93.27418399999999,25
30054,5th Ave. S & East 27th Street,44.954096,-93.26907,15
30055,Hennepin Ave. & 4th Street,44.98017,-93.27152,17
30056,5th Ave. N & N 4th Street,44.984390000000005,-93.277316,19
30057,McNamara Center,44.9743,-93.22854,17
30058,Elliot Hall,44.97685,-93.23818,13
30059,Summit Academy,44.983938,-93.291001,15
30060,Nicollet & Franklin,44.96342,-93.277939,23
30061,Emerson Ave. S & 24th Street,44.959629,-93.294317,11
30062,International Market Square,44.979396,-93.288464,19
30063,Elliot Park,44.970553,-93.26079,15
30064,28th Street & Nicollet Ave. S,44.9519,-93.27831,15
30065,Washington Ave. N & 12th Ave. N,44.990764,-93.281058,15
30066,Plymouth Ave. N & Fremont,44.992075,-93.294907,15
30067,Bryant Ave. N & West Broadway,44.999340999999994,-93.290941,15
30068,North Commons Park,44.998684999999995,-93.302251,15
30069,Farview Park,45.005994,-93.287559,15
30070,West Broadway & Logan Ave. N,45.002448,-93.30585699999999,15
30071,North Regional Library,45.012997999999996,-93.296761,15
30072,Lowry Ave. N & Penn Ave.,45.013318,-93.30779799999999,15
30073,27th Ave. SE & Yale Ave.,44.966570000000004,-93.22046,15
30074,29th Ave. SE & University Ave.,44.9714,-93.21523,15
30075,Curfew Street & Ellis Ave.,44.966161,-93.20525,15
30076,Raymond Ave. & Ellis Avenue,44.96626,-93.19745,15
30077,Fairview Ave. & University Ave.,44.95665,-93.17706,15
30078,Hamline University,44.96302,-93.16388,15
30079,Sherburne Ave. & Snelling Ave. N.,44.956624,-93.16734,15
30080,Midtown YWCA,44.94823,-93.24054,15
30081,East Lake Street & 39th Ave. S,44.948308000000004,-93.21705,15
30082,Wilder Street & Marshall Ave.,44.9486,-93.18583000000001,15
30083,Merriam Park Library,44.94885,-93.1773,15
30084,St. Thomas University,44.940233,-93.188723,15
30085,Grand Ave. & Fairview Ave.,44.94018,-93.17617,15
30086,Macalester College,44.940218,-93.17022,15
30087,Grant Street & Portland Ave.,44.969535,-93.26695,15
30088,6th Ave. SE & University Ave.,44.983281,-93.24812,15
30089,Calhoun Executive Center,44.94885,-93.31759,23
30090,Portland Ave. & Washington Ave.,44.978068,-93.26023,19
30091,2nd Street N & Hennepin Ave.,44.983046,-93.26819,15
30092,2nd Street N & 8th Ave. N,44.989166,-93.27651,19
30093,West 15th Street & Willow,44.96801,-93.2836,15
30094,West 32nd Street & Bryant Ave. S,44.94478,-93.29038,15
30095,West 36th Street & Bryant Ave. S,44.93775,-93.29122,15
30096,University Ave. NE & 12th Ave. NE,44.999894,-93.26295999999999,15
30097,Nicollet Ave. & Lake Street,44.94769,-93.27808,15
30098,Marshall Street NE & 8th Ave. NE,44.996109999999994,-93.26774,15
