Terminal,Station,Latitude,Longitude,Ndocks
30099,Kowalski's Market,44.940135,-93.15311,15
30100,Grand Ave. & Lexington Ave.,44.940127000000004,-93.146957,15
30101,Victoria Street N. & University Ave.,44.956065,-93.13656,15
30102,Marshall Avenue & Syndicate Street,44.948634000000006,-93.154065,15
30103,Hague Ave. & Dale Street,44.945736,-93.12661,15
30104,Logan Park,44.99882,-93.25276,15
30105,Lexington Ave. N & University Ave.,44.955977000000004,-93.14646,15
30106,Dale Street & Grand Ave.,44.939778999999994,-93.126261,15
30107,Dale Street N. & Sherburne Ave.,44.956481,-93.12643,15
30108,Carter Ave. & Como Ave.,44.981343,-93.193977,15
30109,Como Ave. SE & 29th Ave. SE,44.987934,-93.21289200000001,15
30110,Como Ave. SE & 14th Ave. SE,44.9878,-93.23169,15
30111,St. Paul Police Western District,44.953527,-93.156984,15
30112,Central Ave. NE & 20th Ave NE,45.008790000000005,-93.24721,15
30113,U of M St. Paul Student Center,44.984527,-93.185029,15
30114,Snelling Ave. N & Laurel Ave.,44.944828,-93.16713,15
30115,U of M St. Paul Campus,44.980717,-93.186961,15
