,Start_id,End_id,counts
0,30000,30000,1088
1,30000,30001,25
2,30000,30002,9
3,30000,30003,6
4,30000,30004,72
5,30000,30005,92
6,30000,30006,216
7,30000,30007,57
8,30000,30008,10
9,30000,30009,122
10,30000,30010,77
11,30000,30011,282
12,30000,30012,45
13,30000,30013,4
14,30000,30014,21
15,30000,30015,86
16,30000,30016,73
17,30000,30017,18
18,30000,30018,7
19,30000,30019,11
20,30000,30020,11
21,30000,30021,122
22,30000,30022,5
23,30000,30024,57
24,30000,30025,57
25,30000,30026,15
26,30000,30027,42
27,30000,30028,106
28,30000,30029,77
29,30000,30030,325
30,30000,30031,42
31,30000,30032,35
32,30000,30033,6
33,30000,30034,22
34,30000,30035,36
35,30000,30036,123
36,30000,30037,6
37,30000,30038,7
38,30000,30039,83
39,30000,30040,142
40,30000,30041,34
41,30000,30042,304
42,30000,30043,15
43,30000,30044,10
44,30000,30045,29
45,30000,30046,277
46,30000,30047,227
47,30000,30048,13
48,30000,30049,12
49,30000,30050,166
50,30000,30051,72
51,30000,30052,58
52,30000,30053,118
53,30000,30055,162
54,30000,30056,81
55,30000,30057,49
56,30000,30058,36
57,30000,30059,2
58,30000,30060,21
59,30000,30061,9
60,30000,30062,12
61,30000,30063,8
62,30000,30065,61
63,30000,30066,2
64,30000,30067,2
65,30000,30070,2
66,30000,30071,2
67,30000,30072,1
68,30000,30073,2
69,30000,30074,20
70,30000,30075,16
71,30000,30076,5
72,30000,30080,2
73,30000,30081,6
74,30000,30083,3
75,30000,30084,2
76,30000,30086,3
77,30000,30087,43
78,30000,30088,225
79,30000,30089,34
80,30000,30090,371
81,30000,30091,226
82,30000,30092,106
83,30000,30093,41
84,30000,30094,6
85,30000,30095,4
86,30000,30096,74
87,30000,30097,1
88,30000,30098,102
89,30000,30100,1
90,30000,30103,1
91,30000,30104,53
92,30000,30106,1
93,30000,30109,6
94,30000,30110,36
95,30000,30112,25
96,30000,30114,3
97,30000,30115,2
98,30000,30119,1
99,30000,30142,78
100,30000,30143,452
101,30000,30144,321
102,30000,30145,51
103,30000,30146,1
104,30000,30147,22
105,30000,30148,5
106,30000,30149,15
107,30000,30151,154
108,30000,30152,64
109,30000,30153,2
110,30000,30154,57
111,30000,30158,24
112,30000,30160,3
113,30000,30161,8
114,30000,30162,1
115,30000,30164,1
116,30000,30165,1
117,30000,30167,147
118,30000,30168,11
119,30000,30169,78
120,30001,30000,18
121,30001,30001,151
122,30001,30002,24
123,30001,30004,5
124,30001,30005,2
125,30001,30006,1
126,30001,30007,1
127,30001,30008,85
128,30001,30009,9
129,30001,30010,2
130,30001,30011,2
131,30001,30012,4
132,30001,30013,9
133,30001,30014,78
134,30001,30015,6
135,30001,30016,8
136,30001,30017,3
137,30001,30018,3
138,30001,30019,5
139,30001,30020,4
140,30001,30021,12
141,30001,30022,7
142,30001,30023,11
143,30001,30024,52
144,30001,30025,7
145,30001,30026,8
146,30001,30027,30
147,30001,30028,1
148,30001,30029,95
149,30001,30030,7
150,30001,30031,4
151,30001,30032,1
152,30001,30033,3
153,30001,30034,28
154,30001,30036,6
155,30001,30037,11
156,30001,30038,5
157,30001,30039,2
158,30001,30040,4
159,30001,30041,4
160,30001,30042,13
161,30001,30043,57
162,30001,30044,4
163,30001,30045,117
164,30001,30046,19
165,30001,30047,3
166,30001,30048,1
167,30001,30049,5
168,30001,30050,3
169,30001,30051,15
170,30001,30052,5
171,30001,30053,2
172,30001,30054,9
173,30001,30055,10
174,30001,30056,2
175,30001,30057,8
176,30001,30058,15
177,30001,30060,1
178,30001,30061,4
179,30001,30063,1
180,30001,30064,40
181,30001,30073,2
182,30001,30074,16
183,30001,30075,8
184,30001,30076,4
185,30001,30077,3
186,30001,30080,82
187,30001,30081,117
188,30001,30083,8
189,30001,30084,4
190,30001,30085,4
191,30001,30086,7
192,30001,30088,8
193,30001,30089,7
194,30001,30090,13
195,30001,30091,5
196,30001,30093,3
197,30001,30094,2
198,30001,30095,4
199,30001,30096,1
200,30001,30097,4
201,30001,30099,2
202,30001,30100,2
203,30001,30101,1
204,30001,30102,1
205,30001,30106,2
206,30001,30111,1
207,30001,30113,26
208,30001,30114,7
209,30001,30115,3
210,30001,30124,1
211,30001,30142,4
212,30001,30143,23
213,30001,30144,1
214,30001,30147,70
215,30001,30148,2
216,30001,30149,66
217,30001,30154,11
218,30001,30155,8
219,30001,30156,1
220,30001,30158,15
221,30001,30160,2
222,30001,30161,19
223,30001,30162,5
224,30001,30163,3
225,30001,30164,3
226,30002,30000,6
227,30002,30001,18
228,30002,30002,65
229,30002,30004,1
230,30002,30005,10
231,30002,30006,6
232,30002,30007,1
233,30002,30008,12
234,30002,30009,10
235,30002,30013,4
236,30002,30014,68
237,30002,30015,14
238,30002,30017,1
239,30002,30018,1
240,30002,30019,54
241,30002,30020,21
242,30002,30021,1
243,30002,30022,1
244,30002,30023,4
245,30002,30024,128
246,30002,30025,8
247,30002,30026,223
248,30002,30027,34
249,30002,30028,2
250,30002,30029,3
251,30002,30030,2
252,30002,30031,7
253,30002,30032,2
254,30002,30033,1
255,30002,30034,41
256,30002,30036,7
257,30002,30037,79
258,30002,30038,10
259,30002,30039,3
260,30002,30040,1
261,30002,30041,1
262,30002,30042,9
263,30002,30044,1
264,30002,30045,46
265,30002,30046,4
266,30002,30047,10
267,30002,30049,2
268,30002,30050,2
269,30002,30051,8
270,30002,30052,7
271,30002,30053,2
272,30002,30054,1
273,30002,30056,79
274,30002,30057,26
275,30002,30058,1
276,30002,30060,2
277,30002,30061,1
278,30002,30063,1
279,30002,30065,1
280,30002,30074,3
281,30002,30075,3
282,30002,30080,43
283,30002,30081,3
284,30002,30083,4
285,30002,30085,1
286,30002,30087,2
287,30002,30088,42
288,30002,30089,1
289,30002,30090,2
290,30002,30091,3
291,30002,30093,5
292,30002,30100,1
293,30002,30104,1
294,30002,30110,1
295,30002,30114,2
296,30002,30137,1
297,30002,30142,1
298,30002,30143,11
299,30002,30144,2
300,30002,30147,17
301,30002,30149,1
302,30002,30152,1
303,30002,30154,4
304,30002,30155,4
305,30002,30158,2
306,30002,30160,3
307,30002,30161,7
308,30002,30163,20
309,30002,30169,1
310,30003,30000,2
311,30003,30003,58
312,30003,30004,2
313,30003,30005,2
314,30003,30006,2
315,30003,30007,2
316,30003,30011,20
317,30003,30012,1
318,30003,30015,5
319,30003,30016,20
320,30003,30021,17
321,30003,30023,5
322,30003,30030,2
323,30003,30035,4
324,30003,30036,14
325,30003,30039,1
326,30003,30042,3
327,30003,30046,1
328,30003,30047,4
329,30003,30048,2
330,30003,30052,5
331,30003,30053,11
332,30003,30055,27
333,30003,30056,9
334,30003,30059,20
335,30003,30062,4
336,30003,30065,6
337,30003,30066,32
338,30003,30067,11
339,30003,30068,3
340,30003,30069,4
341,30003,30070,8
342,30003,30072,12
343,30003,30088,2
344,30003,30089,5
345,30003,30090,1
346,30003,30091,3
347,30003,30092,10
348,30003,30093,1
349,30003,30098,3
350,30003,30104,4
351,30003,30142,9
352,30003,30143,4
353,30003,30144,5
354,30003,30151,3
355,30003,30158,2
356,30003,30166,1
357,30003,30167,2
358,30003,30168,1
359,30003,30169,1
360,30004,30000,98
361,30004,30001,1
362,30004,30003,1
363,30004,30004,150
364,30004,30005,57
365,30004,30006,49
366,30004,30007,9
367,30004,30008,5
368,30004,30009,20
369,30004,30010,66
370,30004,30011,122
371,30004,30012,26
372,30004,30013,34
373,30004,30014,5
374,30004,30015,9
375,30004,30016,103
376,30004,30017,71
377,30004,30018,15
378,30004,30019,2
379,30004,30020,23
380,30004,30021,84
381,30004,30022,16
382,30004,30023,3
383,30004,30024,5
384,30004,30025,8
385,30004,30027,3
386,30004,30028,104
387,30004,30029,189
388,30004,30030,42
389,30004,30031,3
390,30004,30032,4
391,30004,30033,9
392,30004,30034,6
393,30004,30035,74
394,30004,30036,41
395,30004,30037,18
396,30004,30038,11
397,30004,30039,47
398,30004,30040,53
399,30004,30041,16
400,30004,30042,133
401,30004,30043,57
402,30004,30044,42
403,30004,30045,6
404,30004,30046,21
405,30004,30047,93
406,30004,30048,55
407,30004,30049,21
408,30004,30050,24
409,30004,30051,51
410,30004,30052,33
411,30004,30053,40
412,30004,30054,4
413,30004,30055,129
414,30004,30056,62
415,30004,30057,29
416,30004,30058,1
417,30004,30059,7
418,30004,30060,56
419,30004,30061,20
420,30004,30062,44
421,30004,30063,7
422,30004,30064,2
423,30004,30065,81
424,30004,30066,10
425,30004,30067,7
426,30004,30068,1
427,30004,30070,2
428,30004,30071,2
429,30004,30073,7
430,30004,30074,1
431,30004,30075,1
432,30004,30080,1
433,30004,30081,3
434,30004,30082,1
435,30004,30087,71
436,30004,30088,53
437,30004,30089,57
438,30004,30090,51
439,30004,30091,40
440,30004,30092,105
441,30004,30093,118
442,30004,30094,17
443,30004,30095,23
444,30004,30096,24
445,30004,30097,11
446,30004,30098,11
447,30004,30104,16
448,30004,30109,3
449,30004,30110,7
450,30004,30112,1
451,30004,30116,1
452,30004,30142,18
453,30004,30143,33
454,30004,30144,15
455,30004,30145,22
456,30004,30147,3
457,30004,30149,4
458,30004,30151,7
459,30004,30152,9
460,30004,30154,5
461,30004,30155,2
462,30004,30157,2
463,30004,30158,31
464,30004,30160,20
465,30004,30161,2
466,30004,30163,3
467,30004,30166,3
468,30004,30167,33
469,30004,30168,4
470,30004,30169,10
471,30005,30000,89
472,30005,30001,4
473,30005,30002,4
474,30005,30003,1
475,30005,30004,66
476,30005,30005,90
477,30005,30006,54
478,30005,30007,11
479,30005,30008,5
480,30005,30009,75
481,30005,30010,27
482,30005,30011,94
483,30005,30012,10
484,30005,30013,3
485,30005,30014,4
486,30005,30015,29
487,30005,30016,21
488,30005,30017,7
489,30005,30018,7
490,30005,30019,3
491,30005,30020,1
492,30005,30021,81
493,30005,30023,1
494,30005,30024,30
495,30005,30025,9
496,30005,30026,92
497,30005,30027,5
498,30005,30028,21
499,30005,30029,102
500,30005,30030,45
501,30005,30031,12
502,30005,30032,17
503,30005,30033,3
504,30005,30034,10
505,30005,30035,30
506,30005,30036,161
