,Start_id,End_id,counts
0,30000,30000,689
1,30000,30001,10
2,30000,30002,1
3,30000,30003,2
4,30000,30004,42
5,30000,30005,100
6,30000,30006,93
7,30000,30007,28
8,30000,30008,5
9,30000,30009,106
10,30000,30010,17
11,30000,30011,185
12,30000,30012,8
13,30000,30013,17
14,30000,30014,3
15,30000,30015,24
16,30000,30016,20
17,30000,30017,17
18,30000,30018,12
19,30000,30019,24
20,30000,30020,8
21,30000,30021,76
22,30000,30024,20
23,30000,30025,38
24,30000,30026,8
25,30000,30027,30
26,30000,30028,76
27,30000,30029,59
28,30000,30030,140
29,30000,30031,22
30,30000,30032,21
31,30000,30033,1
32,30000,30034,8
33,30000,30035,32
34,30000,30036,107
35,30000,30037,16
36,30000,30038,10
37,30000,30039,22
38,30000,30040,48
39,30000,30041,6
40,30000,30042,111
41,30000,30043,9
42,30000,30044,1
43,30000,30045,14
44,30000,30046,323
45,30000,30047,95
46,30000,30048,5
47,30000,30049,8
48,30000,30050,64
49,30000,30051,42
50,30000,30052,23
51,30000,30053,42
52,30000,30054,2
53,30000,30055,90
54,30000,30056,23
55,30000,30057,8
56,30000,30058,11
57,30000,30059,1
58,30000,30060,15
59,30000,30061,4
60,30000,30062,1
61,30000,30063,8
62,30000,30064,1
63,30001,30000,20
64,30001,30001,255
65,30001,30002,30
66,30001,30004,1
67,30001,30005,20
68,30001,30006,4
69,30001,30007,6
70,30001,30008,53
71,30001,30009,10
72,30001,30010,1
73,30001,30011,7
74,30001,30013,15
75,30001,30014,40
76,30001,30015,18
77,30001,30016,3
78,30001,30017,7
79,30001,30018,7
80,30001,30019,12
81,30001,30020,11
82,30001,30022,7
83,30001,30023,17
84,30001,30024,40
85,30001,30025,3
86,30001,30026,18
87,30001,30027,36
88,30001,30028,3
89,30001,30029,28
90,30001,30030,22
91,30001,30031,17
92,30001,30032,4
93,30001,30033,6
94,30001,30034,49
95,30001,30035,1
96,30001,30036,4
97,30001,30037,19
98,30001,30038,26
99,30001,30039,10
100,30001,30040,13
101,30001,30041,3
102,30001,30042,13
103,30001,30043,35
104,30001,30044,5
105,30001,30045,148
106,30001,30046,33
107,30001,30047,7
108,30001,30048,2
109,30001,30049,3
110,30001,30050,13
111,30001,30051,1
112,30001,30053,2
113,30001,30054,1
114,30001,30055,4
115,30001,30056,2
116,30001,30058,6
117,30001,30060,3
118,30001,30064,6
119,30002,30001,16
120,30002,30002,50
121,30002,30004,2
122,30002,30005,3
123,30002,30007,2
124,30002,30009,12
125,30002,30011,1
126,30002,30014,32
127,30002,30015,6
128,30002,30017,6
129,30002,30018,8
130,30002,30019,15
131,30002,30020,8
132,30002,30022,1
133,30002,30024,9
134,30002,30025,8
135,30002,30026,8
136,30002,30027,29
137,30002,30028,1
138,30002,30029,1
139,30002,30030,2
140,30002,30032,5
141,30002,30033,2
142,30002,30034,14
143,30002,30036,8
144,30002,30037,24
145,30002,30038,6
146,30002,30039,3
147,30002,30040,1
148,30002,30041,1
149,30002,30042,2
150,30002,30044,1
151,30002,30045,48
152,30002,30046,8
153,30002,30047,2
154,30002,30048,1
155,30002,30049,2
156,30002,30050,1
157,30002,30055,2
158,30002,30058,1
159,30002,30060,1
160,30002,30061,1
161,30002,30062,1
162,30002,30063,2
163,30002,30064,1
164,30003,30003,30
165,30003,30004,4
166,30003,30005,2
167,30003,30006,1
168,30003,30009,1
169,30003,30010,3
170,30003,30011,9
171,30003,30013,1
172,30003,30016,9
173,30003,30019,3
174,30003,30020,3
175,30003,30021,5
176,30003,30030,2
177,30003,30036,1
178,30003,30040,2
179,30003,30042,1
180,30003,30043,2
181,30003,30047,3
182,30003,30051,2
183,30003,30055,2
184,30003,30056,9
185,30003,30059,57
186,30003,30062,8
187,30004,30000,59
188,30004,30001,2
189,30004,30002,4
190,30004,30003,2
191,30004,30004,186
192,30004,30005,49
193,30004,30006,49
194,30004,30007,29
195,30004,30008,9
196,30004,30009,20
197,30004,30010,92
198,30004,30011,111
199,30004,30012,12
200,30004,30013,45
201,30004,30015,8
202,30004,30016,138
203,30004,30017,105
204,30004,30018,9
205,30004,30020,57
206,30004,30021,61
207,30004,30022,28
208,30004,30023,1
209,30004,30024,3
210,30004,30025,1
211,30004,30027,2
212,30004,30028,12
213,30004,30029,50
214,30004,30030,14
215,30004,30031,2
216,30004,30032,1
217,30004,30033,5
218,30004,30035,106
219,30004,30036,34
220,30004,30037,3
221,30004,30038,10
222,30004,30039,3
223,30004,30040,28
224,30004,30041,3
225,30004,30042,62
226,30004,30043,93
227,30004,30044,43
228,30004,30045,1
229,30004,30046,20
230,30004,30047,24
231,30004,30048,50
232,30004,30049,22
233,30004,30050,44
234,30004,30051,27
235,30004,30052,61
236,30004,30053,12
237,30004,30054,3
238,30004,30055,75
239,30004,30056,63
240,30004,30058,4
241,30004,30059,9
242,30004,30060,13
243,30004,30061,28
244,30004,30062,13
245,30004,30063,5
246,30004,30064,2
247,30005,30000,69
248,30005,30001,19
249,30005,30002,1
250,30005,30003,3
251,30005,30004,42
252,30005,30005,164
253,30005,30006,38
254,30005,30007,19
255,30005,30008,4
256,30005,30009,79
257,30005,30010,4
258,30005,30011,73
259,30005,30012,2
260,30005,30013,8
261,30005,30014,2
262,30005,30015,21
263,30005,30016,16
264,30005,30017,9
265,30005,30018,8
266,30005,30019,24
267,30005,30020,6
268,30005,30021,45
269,30005,30022,3
270,30005,30024,26
271,30005,30025,12
272,30005,30026,14
273,30005,30027,16
274,30005,30028,79
275,30005,30029,70
276,30005,30030,53
277,30005,30031,28
278,30005,30032,9
279,30005,30033,1
280,30005,30034,26
281,30005,30035,13
282,30005,30036,107
283,30005,30037,9
284,30005,30038,4
285,30005,30039,11
286,30005,30040,16
287,30005,30041,3
288,30005,30042,127
289,30005,30043,4
290,30005,30044,8
291,30005,30045,7
292,30005,30046,100
293,30005,30047,112
294,30005,30048,5
295,30005,30049,5
296,30005,30050,75
297,30005,30051,38
298,30005,30052,5
299,30005,30053,50
300,30005,30054,3
301,30005,30055,78
302,30005,30056,41
303,30005,30058,10
304,30005,30060,18
305,30005,30061,2
306,30005,30062,1
307,30005,30063,1
308,30005,30064,2
309,30006,30000,119
310,30006,30001,4
311,30006,30004,72
312,30006,30005,34
313,30006,30006,622
314,30006,30007,34
315,30006,30008,19
316,30006,30009,26
317,30006,30010,59
318,30006,30011,69
319,30006,30012,45
320,30006,30013,68
321,30006,30014,3
322,30006,30015,29
323,30006,30016,215
324,30006,30017,173
325,30006,30018,68
326,30006,30019,6
327,30006,30020,91
328,30006,30021,48
329,30006,30022,50
330,30006,30023,1
331,30006,30024,9
332,30006,30025,9
333,30006,30026,2
334,30006,30027,2
335,30006,30028,67
336,30006,30029,89
337,30006,30030,32
338,30006,30031,19
339,30006,30032,4
340,30006,30033,3
341,30006,30034,2
342,30006,30035,188
343,30006,30036,123
344,30006,30037,7
345,30006,30038,8
346,30006,30039,38
347,30006,30040,80
348,30006,30041,3
349,30006,30042,254
350,30006,30043,154
351,30006,30044,55
352,30006,30045,4
353,30006,30046,112
354,30006,30047,46
355,30006,30048,128
356,30006,30049,103
357,30006,30050,46
358,30006,30051,28
359,30006,30052,99
360,30006,30053,37
361,30006,30054,2
362,30006,30055,72
363,30006,30056,57
364,30006,30057,5
365,30006,30058,2
366,30006,30060,83
367,30006,30061,21
368,30006,30062,5
369,30006,30063,11
370,30006,30064,33
371,30007,30000,28
372,30007,30001,8
373,30007,30002,1
374,30007,30004,41
375,30007,30005,11
376,30007,30006,42
377,30007,30007,127
378,30007,30008,3
379,30007,30009,8
380,30007,30010,19
381,30007,30011,87
382,30007,30012,37
383,30007,30013,9
384,30007,30014,3
385,30007,30015,20
386,30007,30016,14
387,30007,30017,10
388,30007,30018,4
389,30007,30019,71
390,30007,30020,8
391,30007,30021,11
392,30007,30022,2
393,30007,30024,20
394,30007,30025,1
395,30007,30026,1
396,30007,30027,9
397,30007,30028,17
398,30007,30029,39
399,30007,30030,13
400,30007,30031,6
401,30007,30032,1
402,30007,30033,9
403,30007,30034,6
404,30007,30035,29
405,30007,30036,31
406,30007,30037,3
407,30007,30039,18
408,30007,30040,46
409,30007,30041,17
410,30007,30042,40
411,30007,30043,19
412,30007,30044,8
413,30007,30045,4
414,30007,30046,51
415,30007,30047,40
416,30007,30048,59
417,30007,30049,4
418,30007,30050,11
419,30007,30051,32
420,30007,30052,17
421,30007,30053,6
422,30007,30055,45
423,30007,30056,5
424,30007,30058,4
425,30007,30060,21
426,30007,30061,2
427,30007,30062,3
428,30007,30063,41
429,30007,30064,2
430,30008,30000,4
431,30008,30001,78
432,30008,30004,9
433,30008,30005,9
434,30008,30006,8
435,30008,30007,11
436,30008,30008,238
437,30008,30009,5
438,30008,30010,1
439,30008,30011,3
440,30008,30012,6
441,30008,30013,91
442,30008,30014,15
443,30008,30015,2
444,30008,30016,8
445,30008,30017,18
446,30008,30018,25
447,30008,30019,9
448,30008,30020,53
449,30008,30021,7
450,30008,30022,35
451,30008,30023,81
452,30008,30024,3
453,30008,30025,1
454,30008,30026,1
455,30008,30027,15
456,30008,30028,1
457,30008,30029,6
458,30008,30030,9
459,30008,30031,5
460,30008,30033,10
461,30008,30034,2
462,30008,30035,3
463,30008,30036,9
464,30008,30037,20
465,30008,30038,46
466,30008,30039,17
467,30008,30040,19
468,30008,30041,16
469,30008,30042,8
470,30008,30043,142
471,30008,30044,45
472,30008,30045,17
473,30008,30046,23
474,30008,30047,1
475,30008,30048,12
476,30008,30049,8
477,30008,30050,36
478,30008,30051,8
479,30008,30052,3
480,30008,30053,2
481,30008,30054,28
482,30008,30055,2
483,30008,30056,7
484,30008,30058,4
485,30008,30060,13
486,30008,30061,9
487,30008,30063,3
488,30008,30064,28
489,30009,30000,96
490,30009,30001,17
491,30009,30002,17
492,30009,30003,2
493,30009,30004,15
494,30009,30005,129
495,30009,30006,22
496,30009,30007,8
497,30009,30008,9
498,30009,30009,282
499,30009,30010,12
500,30009,30011,49
501,30009,30012,13
502,30009,30013,10
503,30009,30014,8
504,30009,30015,57
505,30009,30016,14
506,30009,30017,7
507,30009,30018,7
508,30009,30019,118
509,30009,30020,10
510,30009,30021,8
511,30009,30022,3
512,30009,30023,6
513,30009,30024,170
514,30009,30025,231
515,30009,30026,246
516,30009,30027,98
517,30009,30028,28
518,30009,30029,18
519,30009,30030,34
520,30009,30031,80
521,30009,30032,65
522,30009,30033,5
523,30009,30034,70
524,30009,30035,9
525,30009,30036,23
526,30009,30037,16
527,30009,30038,16
528,30009,30039,21
529,30009,30040,23
530,30009,30041,16
531,30009,30042,35
532,30009,30043,8
533,30009,30044,4
534,30009,30045,36
535,30009,30046,88
536,30009,30047,119
537,30009,30048,4
538,30009,30049,3
539,30009,30050,35
540,30009,30051,15
541,30009,30052,6
542,30009,30053,3
543,30009,30055,39
544,30009,30056,5
545,30009,30057,81
546,30009,30058,64
547,30009,30060,4
548,30009,30063,3
549,30010,30000,31
550,30010,30001,1
551,30010,30003,1
552,30010,30004,53
553,30010,30005,7
554,30010,30006,46
555,30010,30007,18
556,30010,30008,3
557,30010,30009,4
558,30010,30010,104
559,30010,30011,22
560,30010,30012,2
561,30010,30013,10
562,30010,30014,1
563,30010,30015,4
564,30010,30016,111
565,30010,30017,33
566,30010,30018,2
567,30010,30020,20
568,30010,30021,56
569,30010,30022,7
570,30010,30025,1
571,30010,30027,1
572,30010,30028,16
573,30010,30029,5
574,30010,30030,15
575,30010,30032,21
576,30010,30033,1
577,30010,30035,71
578,30010,30036,18
579,30010,30037,2
580,30010,30039,12
581,30010,30040,19
582,30010,30042,56
583,30010,30043,47
584,30010,30044,9
585,30010,30046,32
586,30010,30047,20
587,30010,30048,35
588,30010,30049,3
589,30010,30050,3
590,30010,30051,3
591,30010,30052,11
592,30010,30053,21
593,30010,30055,47
594,30010,30056,7
595,30010,30057,2
596,30010,30058,2
597,30010,30059,1
598,30010,30060,9
599,30010,30061,3
600,30010,30062,26
601,30010,30064,1
602,30011,30000,215
603,30011,30001,9
604,30011,30002,2
605,30011,30003,8
606,30011,30004,173
607,30011,30005,87
608,30011,30006,84
609,30011,30007,78
610,30011,30008,5
611,30011,30009,40
612,30011,30010,28
613,30011,30011,467
614,30011,30012,7
615,30011,30013,12
616,30011,30015,24
617,30011,30016,29
618,30011,30017,2
619,30011,30019,13
620,30011,30020,9
621,30011,30021,48
622,30011,30022,4
623,30011,30023,2
624,30011,30024,16
625,30011,30025,5
626,30011,30026,27
627,30011,30027,32
628,30011,30028,65
629,30011,30029,135
630,30011,30030,62
631,30011,30031,12
632,30011,30032,3
633,30011,30034,2
634,30011,30035,39
635,30011,30036,181
636,30011,30037,19
637,30011,30038,31
638,30011,30039,16
639,30011,30040,88
640,30011,30041,3
641,30011,30042,572
642,30011,30043,28
643,30011,30044,1
644,30011,30045,13
645,30011,30046,230
646,30011,30047,172
647,30011,30048,11
648,30011,30049,1
649,30011,30050,45
650,30011,30051,26
651,30011,30052,15
652,30011,30053,122
653,30011,30055,243
654,30011,30056,129
655,30011,30057,10
656,30011,30058,4
657,30011,30059,5
658,30011,30060,11
659,30011,30061,2
660,30011,30062,5
661,30011,30063,7
662,30011,30064,2
663,30012,30000,14
664,30012,30001,1
665,30012,30004,15
666,30012,30005,2
667,30012,30006,38
668,30012,30007,20
669,30012,30009,12
670,30012,30010,5
671,30012,30011,8
672,30012,30012,72
673,30012,30013,5
674,30012,30014,1
675,30012,30015,1
676,30012,30016,33
677,30012,30017,10
678,30012,30018,8
679,30012,30019,2
680,30012,30020,19
681,30012,30021,3
682,30012,30022,4
683,30012,30023,2
684,30012,30026,1
685,30012,30027,8
686,30012,30028,10
687,30012,30029,38
688,30012,30030,13
689,30012,30032,1
690,30012,30034,1
