"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-14","10.51","0.09","1.6","15",,"24","5"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-15","12.75","0.03","0.7","17",,"30","22"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-16","13.20","0.00","0.0","17",,"34","17"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-17","7.61","0.00","0.0","16",,"35","16"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-18","3.58","0.00","0.0","15",,"37","10"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-19","2.46","0.00","0.0","14",,"31","7"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-20","3.13","0.00","0.0","13",,"35","18"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-21","3.36","0.00","0.0","13",,"31","13"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-22","6.93","0.00","0.0","13",,"32","14"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-23","10.96","0.00","0.1","13",,"23","9"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-24","7.61","0.00","0.0","13",,"20","1"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-25","1.79","0.00","0.0","12",,"26","3"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-26","2.91","0.00","0.0","12",,"32","5"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","2010-02-27","5.59","0.00","0.0","12",,"38","9"
